Year,Area Name,Carcass Size,Harvest Date,Location
2020,CITRUS COUNTY,9 ft. 8 in.,10/31/2020,WITHLACOOCHEE RIVER
2020,ST. JOHNS RIVER (LAKE POINSETT),9 ft. 8 in.,08/20/2020,
2020,STA - 1W NORTH,9 ft. 8 in.,08/15/2020,
2020,LAKE HARNEY,9 ft. 8 in.,10/22/2020,
2020,RODMAN RESERVOIR,9 ft. 8 in.,09/05/2020,
2020,CLAY COUNTY,9 ft. 8 in.,08/17/2020,BLACK CREEK
2020,LAFAYETTE COUNTY,9 ft. 7 in.,09/22/2020,TROY SPRING
2020,LAKE TOHOPEKALIGA,9 ft. 7 in.,10/31/2020,
2020,LAKE COUNTY,9 ft. 7 in.,08/25/2020,
2020,LAKE OKEECHOBEE WEST,9 ft. 7 in.,09/24/2020,
2020,ST. JOHNS RIVER (PUZZLE LAKE),9 ft. 7 in.,08/21/2020,
2020,LAKE HATCHINEHA,9 ft. 7 in.,08/31/2020,
2020,KISSIMMEE RIVER (POOL E),9 ft. 7 in.,08/24/2020,
2020,GLADES COUNTY,9 ft. 7 in.,10/21/2020,NINEMILE CANAL
2020,CLAY COUNTY,9 ft. 7 in.,10/06/2020,DOCTORS LAKE
2020,STA - 1W SOUTH,9 ft. 7 in.,10/03/2020,
2020,MARION COUNTY,9 ft. 7 in.,10/08/2020,
2020,LAKE JESUP,9 ft. 7 in.,10/14/2020,
2020,NEWNANS LAKE,9 ft. 7 in.,08/16/2020,
2020,LAKE MICCOSUKEE,9 ft. 7 in.,09/11/2020,
2020,LAKE COUNTY,9 ft. 7 in.,08/21/2020,ALEXANDER SPRINGS CREEK
2020,JACKSON COUNTY,9 ft. 7 in.,08/15/2020,APALACHICOLA RIIVER
2020,LAKE MICCOSUKEE,9 ft. 7 in.,08/15/2020,
2020,SANTA ROSA COUNTY,9 ft. 7 in.,09/13/2020,YELLOW RIVER
2020,ORANGE LAKE,9 ft. 7 in.,09/05/2020,
2020,LAKE OKEECHOBEE WEST,9 ft. 7 in.,10/19/2020,
2020,ST. JOHNS RIVER (LAKE POINSETT),9 ft. 7 in.,08/18/2020,
2020,HIGHLANDS COUNTY,9 ft. 7 in.,10/22/2020,
2020,CRESCENT LAKE,9 ft. 7 in.,09/28/2020,
2020,MARION COUNTY,9 ft. 7 in.,10/26/2020,MUD PRAIRIE LAKE
2020,LEE COUNTY,9 ft. 7 in.,10/03/2020,
2020,ORANGE LAKE,9 ft. 7 in.,08/15/2020,
2020,EVERGLADES &amp; FRANCIS S. TAYLOR WMA (WCA 3),9 ft. 7 in.,08/21/2020,
2020,LOCHLOOSA LAKE,9 ft. 7 in.,08/17/2020,
2020,OSCEOLA COUNTY,9 ft. 7 in.,10/30/2020,TOHOPEKALIGA EAST LAKE
2020,POLK COUNTY,9 ft. 7 in.,09/19/2020,ASHTON LAKE
2020,STA- 5/6,9 ft. 7 in.,08/21/2020,
2020,HIGHLANDS COUNTY,9 ft. 7 in.,09/06/2020,ARBUCKLE CREEK
2020,POLK COUNTY,9 ft. 7 in.,10/28/2020,BANANA LAKE
2020,NEWNANS LAKE,9 ft. 7 in.,08/23/2020,
2020,FRANKLIN COUNTY,9 ft. 7 in.,11/14/2020,AUSTIN BAYOU
2020,HIGHLANDS COUNTY,9 ft. 7 in.,10/30/2020,ARBUCKLE CREEK
2020,KISSIMMEE RIVER,9 ft. 7 in.,08/15/2020,
2020,PUTNAM COUNTY,9 ft. 7 in.,10/15/2020,OCKLAWAHA RIVER
2020,CRESCENT LAKE,9 ft. 7 in.,09/30/2020,
2020,HIGHLANDS COUNTY,9 ft. 7 in.,09/04/2020,ARBUCKLE CREEK
2020,ST. JOHNS RIVER UPPER BASIN CANALS,9 ft. 7 in.,09/09/2020,
2020,OSCEOLA COUNTY,9 ft. 7 in.,08/17/2020,SAINT CLOUD CANAL
2020,LAKE COUNTY,9 ft. 7 in.,09/06/2020,DENHAM LAKE
2020,LAKE DEXTER,9 ft. 7 in.,08/19/2020,
2020,FRANKLIN COUNTY,9 ft. 7 in.,09/11/2020,OCHLOCKONEE BAY
2020,MARTIN COUNTY,9 ft. 7 in.,09/23/2020,
2020,LAKE GEORGE,9 ft. 7 in.,10/04/2020,
2020,KENANSVILLE LAKE,9 ft. 7 in.,10/10/2020,
2020,LIBERTY COUNTY,9 ft. 7 in.,08/23/2020,
2020,HIGHLANDS COUNTY,9 ft. 7 in.,08/16/2020,
2020,STICK MARSH,9 ft. 7 in.,09/04/2020,
2020,STA - 3/4 WEST,9 ft. 7 in.,08/21/2020,
2020,ST. JOHNS RIVER UPPER BASIN CANALS,9 ft. 7 in.,09/19/2020,
2020,LAKE OKEECHOBEE WEST,9 ft. 7 in.,10/19/2020,
2020,LEON COUNTY,9 ft. 7 in.,09/27/2020,JACKSON LAKE
2020,ST. JOHNS RIVER (PUZZLE LAKE),9 ft. 7 in.,08/16/2020,
2020,LAKE OKEECHOBEE WEST,9 ft. 7 in.,09/12/2020,
2020,LAKE HATCHINEHA,9 ft. 7 in.,10/23/2020,
2020,LAKE OKEECHOBEE WEST,9 ft. 7 in.,08/16/2020,
2020,STA - 2,9 ft. 7 in.,09/04/2020,
2020,ST. JOHNS RIVER (LAKE POINSETT),9 ft. 7 in.,08/27/2020,
2020,CRESCENT LAKE,9 ft. 7 in.,10/02/2020,
2020,CALHOUN COUNTY,9 ft. 7 in.,08/15/2020,OLD RIVER
2020,ST. JOHNS RIVER (LAKE POINSETT),9 ft. 7 in.,10/31/2020,
2020,STA - 1W NORTH,9 ft. 7 in.,10/03/2020,
2020,ORANGE LAKE,9 ft. 7 in.,08/23/2020,
2020,TAYLOR COUNTY,9 ft. 7 in.,10/29/2020,FENHOLLOWAY RIVER
2020,CRESCENT LAKE,9 ft. 7 in.,08/30/2020,
2020,A-1 FEB,9 ft. 7 in.,08/16/2020,
2020,LAKE OKEECHOBEE WEST,9 ft. 7 in.,08/30/2020,
2020,WALTON COUNTY,9 ft. 7 in.,10/27/2020,CHOCTAWHATCHEE RIVER
2020,ST. JOHNS RIVER UPPER BASIN CANALS,9 ft. 7 in.,10/15/2020,
2020,PUTNAM COUNTY,9 ft. 7 in.,08/22/2020,OCKLAWAHA RIVER
2020,LAKE KISSIMMEE,9 ft. 7 in.,10/31/2020,
2020,LAKE OKEECHOBEE WEST,9 ft. 7 in.,10/31/2020,
2020,NEWNANS LAKE,9 ft. 7 in.,08/15/2020,
2020,STA - 2,9 ft. 7 in.,08/23/2020,
2020,ORANGE COUNTY,9 ft. 7 in.,08/15/2020,MARY JANE LAKE
2020,STA- 5/6,9 ft. 7 in.,10/18/2020,
2020,LAKE MICCOSUKEE,9 ft. 7 in.,10/08/2020,
2020,STA - 2,9 ft. 7 in.,08/22/2020,
2020,KENANSVILLE LAKE,9 ft. 7 in.,08/23/2020,
2020,ORANGE LAKE,9 ft. 7 in.,08/22/2020,
2020,NEWNANS LAKE,9 ft. 7 in.,09/25/2020,
2020,LIBERTY COUNTY,9 ft. 7 in.,10/26/2020,HITCHCOCK LAKE
2020,LAKE OKEECHOBEE SOUTH,9 ft. 7 in.,10/29/2020,
2020,MANATEE COUNTY,9 ft. 7 in.,08/18/2020,MANATEE RIVER
2020,GULF COUNTY,9 ft. 7 in.,09/25/2020,DEPOT CREEK
2020,POLK COUNTY,9 ft. 6 in.,08/15/2020,ROSALIE LAKE
2020,STA- 5/6,9 ft. 6 in.,08/15/2020,
2020,LAKE OKEECHOBEE SOUTH,9 ft. 6 in.,09/13/2020,
2020,JEFFERSON COUNTY,9 ft. 6 in.,10/12/2020,WEST CUTOFF
2020,KISSIMMEE RIVER (POOL A),9 ft. 6 in.,08/15/2020,
2020,LAKE ARBUCKLE,9 ft. 6 in.,08/15/2020,
2020,LAKE ARBUCKLE,9 ft. 6 in.,10/31/2020,
2020,STA - 3/4 EAST,9 ft. 6 in.,10/31/2020,
2020,KENANSVILLE LAKE,9 ft. 6 in.,10/29/2020,
2020,CITRUS COUNTY,9 ft. 6 in.,10/28/2020,CRYSTAL RIVER
2020,STA - 1W NORTH,9 ft. 6 in.,10/11/2020,
2020,LAKE OKEECHOBEE NORTH,9 ft. 6 in.,08/15/2020,
2020,LAKE OKEECHOBEE NORTH,9 ft. 6 in.,08/15/2020,
2020,POLK COUNTY,9 ft. 6 in.,08/18/2020,
2020,STA - 3/4 EAST,9 ft. 6 in.,10/23/2020,
2020,CALHOUN COUNTY,9 ft. 6 in.,08/26/2020,
2020,STA - 1W NORTH,9 ft. 6 in.,08/22/2020,
2020,BLUE CYPRESS WATER MANAGEMENT AREA,9 ft. 6 in.,10/28/2020,
2020,EVERGLADES &amp; FRANCIS S. TAYLOR WMA (WCA 3),9 ft. 6 in.,08/30/2020,
2020,TENOROC FMA,9 ft. 6 in.,10/23/2020,
2020,LAKE TRAFFORD,9 ft. 6 in.,08/30/2020,
2020,WALTON COUNTY,9 ft. 6 in.,10/27/2020,CHOCTAWHATCHEE RIVER
2020,STA - 1W SOUTH,9 ft. 6 in.,10/03/2020,
2020,LAKE COUNTY,9 ft. 6 in.,10/18/2020,PALATLAKAHA RIVER
2020,ST. JOHNS RIVER UPPER BASIN CANALS,9 ft. 6 in.,10/16/2020,
2020,PALM BEACH COUNTY,9 ft. 6 in.,10/23/2020,M CANAL
2020,STA - 1W SOUTH,9 ft. 6 in.,08/21/2020,
2020,LEVY COUNTY,9 ft. 6 in.,09/08/2020,SUWANNEE SOUND
2020,NEWNANS LAKE,9 ft. 6 in.,10/16/2020,
2020,STA- 5/6,9 ft. 6 in.,08/29/2020,
2020,LAKE IAMONIA,9 ft. 6 in.,09/05/2020,
2020,POLK COUNTY,9 ft. 6 in.,10/20/2020,
2020,STA - 3/4 WEST,9 ft. 6 in.,08/16/2020,
2020,GLADES COUNTY,9 ft. 6 in.,10/10/2020,FISHEATING CREEK
2020,HIGHLANDS COUNTY,9 ft. 6 in.,10/03/2020,ARBUCKLE CREEK
2020,LAKE OKEECHOBEE WEST,9 ft. 6 in.,10/19/2020,
2020,CLAY COUNTY,9 ft. 6 in.,09/26/2020,ST. JOHNS RIVER
2020,NEWNANS LAKE,9 ft. 6 in.,08/19/2020,
2020,LAKE ROUSSEAU,9 ft. 6 in.,08/19/2020,
2020,LOCHLOOSA LAKE,9 ft. 6 in.,08/15/2020,
2020,KISSIMMEE RIVER,9 ft. 6 in.,09/17/2020,
2020,STICK MARSH,9 ft. 6 in.,08/15/2020,
2020,PEACE RIVER SOUTH,9 ft. 6 in.,10/10/2020,
2020,ST. JOHNS RIVER (PALATKA SOUTH),9 ft. 6 in.,10/16/2020,
2020,ST. JOHNS RIVER (WELAKA),9 ft. 6 in.,10/31/2020,
2020,CHARLOTTE COUNTY,9 ft. 6 in.,10/07/2020,FORTY ACRE POND
2020,HENDRY COUNTY,9 ft. 6 in.,08/15/2020,
2020,ST. JOHNS RIVER (WELAKA),9 ft. 6 in.,10/06/2020,
2020,LAKE OKEECHOBEE WEST,9 ft. 6 in.,08/15/2020,
2020,KENANSVILLE LAKE,9 ft. 6 in.,10/31/2020,
2020,STA - 1W NORTH,9 ft. 6 in.,08/21/2020,
2020,POLK COUNTY,9 ft. 6 in.,08/28/2020,
2020,STA - 3/4 EAST,9 ft. 6 in.,10/30/2020,
2020,STA- 5/6,9 ft. 6 in.,09/06/2020,
2020,ST. JOHNS RIVER (LAKE POINSETT),9 ft. 6 in.,08/28/2020,
2020,ORANGE LAKE,9 ft. 6 in.,09/06/2020,
2020,LAKE KISSIMMEE,9 ft. 6 in.,08/19/2020,
2020,NEWNANS LAKE,9 ft. 6 in.,10/10/2020,
2020,STA - 2,9 ft. 6 in.,08/21/2020,
2020,LAKE HARNEY,9 ft. 6 in.,08/15/2020,
2020,NEWNANS LAKE,9 ft. 6 in.,09/10/2020,
2020,POLK COUNTY,9 ft. 6 in.,09/03/2020,CRAGO LAKE
